,course,darkred,lightred,orange,yellow,green,white,count_bears,count_colors,most_liked,gender,age,height,semester
,DSC,3,2,0,1,3,0,9,4,green,m,26,186,1
,DSC,1,4,1,2,1,0,9,5,white,m,22,179,1
,DSC,1,2,0,3,5,1,12,5,green,m,25,188,1
,DSC,1,1,4,2,0,1,10,5,orange,f,27,165,3
,DSC,5,0,1,2,1,0,9,4,orange,f,27,164,2
,DSC,3,0,1,1,3,1,9,5,darkred,m,24,188,2
,DSC,,2,2,1,3,1,9,5,green,m,25,175,3
,DSC,3,1,2,1,2,0,9,5,darkred,m,22,190,1
,DSC,1,2,3,1,2,1,10,6,orange,m,24,186,2
,DSC,2,3,3,0,1,1,10,5,orange,m,23,175,3
,DSC,1,0,3,2,1,2,9,5,green,m,27,170,1
,,,,,,,,,,,,,,
,DSC,3,1,3,1,1,0,9,4,darkred,m,30,176,3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DSC,4,1,1,1,1,1,9,6,darkred,f,28,165,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DSC,2,1,2,1,2,1,9,6,green,m,24,170,3
,DSC,3,1,3,1,1,1,10,6,yellow,m,23,181,1
